uid,variant_number,dt,signup_date
0,0,2019-02-06,2018-09-24
1,0,2019-02-06,2016-11-07
2,0,2019-02-06,2018-09-17
3,0,2019-02-06,2018-03-04
4,0,2019-02-06,2017-03-09
5,0,2019-02-06,2018-06-25
6,0,2019-02-06,2017-01-22
7,0,2019-02-06,2016-08-12
8,0,2019-02-06,2019-01-18
9,0,2019-02-06,2018-05-02
10,0,2019-02-06,2014-02-11
11,0,2019-02-06,2018-05-19
12,0,2019-02-06,2017-04-20
13,0,2019-02-06,2018-03-08
14,0,2019-02-06,2018-04-18
15,0,2019-02-06,2017-10-18
16,0,2019-02-06,2018-12-05
17,0,2019-02-06,2018-06-10
18,0,2019-02-06,2013-06-19
19,0,2019-02-06,2018-03-24
20,0,2019-02-06,2018-03-15
21,0,2019-02-06,2014-10-25
22,0,2019-02-06,2019-02-02
23,0,2019-02-06,2018-08-14
24,0,2019-02-06,2017-09-19
25,0,2019-02-06,2015-08-29
26,0,2019-02-06,2019-01-10
27,0,2019-02-06,2016-03-01
28,0,2019-02-06,2017-04-12
29,0,2019-02-06,2016-11-23
30,0,2019-02-06,2017-03-19
31,0,2019-02-06,2018-11-18
32,0,2019-02-06,2018-09-03
33,0,2019-02-06,2018-11-15
34,0,2019-02-06,2017-06-13
35,0,2019-02-06,2019-01-25
36,0,2019-02-06,2016-06-02
37,0,2019-02-06,2018-08-27
38,0,2019-02-06,2018-10-24
39,0,2019-02-06,2013-03-18
40,0,2019-02-06,2018-06-04
41,0,2019-02-06,2014-09-03
42,0,2019-02-06,2019-01-27
43,0,2019-02-06,2016-03-28
44,0,2019-02-06,2013-02-13
45,0,2019-02-06,2018-05-04
46,0,2019-02-06,2015-06-11
47,0,2019-02-06,2018-11-14
48,0,2019-02-06,2018-06-22
49,0,2019-02-06,2018-12-30
50,0,2019-02-06,2016-08-29
51,0,2019-02-06,2018-06-26
52,0,2019-02-06,2017-07-12
53,0,2019-02-06,2016-04-11
54,0,2019-02-06,2016-05-06
55,0,2019-02-06,2017-08-28
56,0,2019-02-06,2015-11-03
57,0,2019-02-06,2018-10-30
58,0,2019-02-06,2015-04-29
59,0,2019-02-06,2015-06-01
60,0,2019-02-06,2015-08-11
61,0,2019-02-06,2018-10-12
62,0,2019-02-06,2014-12-12
63,0,2019-02-06,2018-12-14
64,0,2019-02-06,2018-12-19
65,0,2019-02-06,2017-01-16
