uid,gender,user_type
0,male,non_reader
1,male,reader
2,male,non_reader
3,male,non_reader
4,male,non_reader
5,female,non_reader
6,female,non_reader
7,male,non_reader
8,male,new_user
9,female,non_reader
10,male,non_reader
11,female,non_reader
12,male,non_reader
13,male,non_reader
14,male,non_reader
15,male,reader
16,female,non_reader
17,female,reader
18,male,non_reader
19,female,reader
20,male,non_reader
21,male,non_reader
22,male,new_user
23,female,non_reader
24,female,non_reader
25,male,reader
26,female,non_reader
27,unknown,non_reader
28,unknown,contributor
29,male,reader
30,male,contributor
31,female,non_reader
32,male,non_reader
33,unknown,non_reader
34,male,non_reader
35,male,new_user
36,female,reader
37,female,non_reader
38,male,reader
39,male,reader
40,female,non_reader
41,male,non_reader
42,female,new_user
43,female,non_reader
44,unknown,non_reader
45,male,non_reader
46,male,non_reader
47,male,non_reader
48,unknown,non_reader
49,male,non_reader
50,male,reader
51,male,non_reader
52,unknown,contributor
53,male,non_reader
54,female,non_reader
55,unknown,non_reader
56,male,non_reader
57,unknown,non_reader
58,male,reader
59,male,non_reader
60,male,non_reader
61,male,non_reader
62,male,contributor
63,female,non_reader
64,male,non_reader
65,unknown,reader
66,unknown,non_reader
67,unknown,non_reader
68,female,non_reader
69,male,reader
70,male,non_reader
71,male,non_reader
72,male,non_reader
73,male,reader
74,male,non_reader
75,male,non_reader
76,male,non_reader
77,female,non_reader
78,male,non_reader
79,unknown,non_reader
80,male,reader
81,unknown,new_user
82,unknown,non_reader
83,unknown,non_reader
84,female,reader
85,unknown,new_user
86,unknown,non_reader
87,male,non_reader
88,female,non_reader
89,male,reader
90,female,non_reader
91,male,non_reader
92,female,non_reader
93,unknown,non_reader
94,female,new_user
95,female,non_reader
96,female,non_reader
97,male,non_reader
98,male,non_reader
99,male,reader
100,male,non_reader
101,male,contributor
102,male,non_reader
103,male,non_reader
104,female,new_user
105,unknown,non_reader
106,male,non_reader
107,male,non_reader
108,male,non_reader
109,male,non_reader
110,male,non_reader
111,male,new_user
112,male,reader
113,female,non_reader
114,male,non_reader
115,female,non_reader
116,male,non_reader
117,male,non_reader
118,male,non_reader
119,male,non_reader
120,male,reader
121,male,non_reader
122,female,non_reader
123,male,contributor
124,unknown,non_reader
125,male,non_reader
126,female,new_user
127,male,non_reader
128,female,non_reader
129,male,non_reader
130,male,non_reader
131,male,non_reader
132,female,new_user
133,unknown,new_user
134,female,non_reader
135,male,new_user
136,unknown,non_reader
137,female,new_user
138,male,non_reader
139,male,non_reader
140,male,non_reader
141,male,non_reader
142,male,non_reader
143,male,non_reader
144,male,reader
145,male,non_reader
146,male,reader
147,male,non_reader
148,female,non_reader
149,male,reader
150,unknown,reader
151,male,reader
152,male,non_reader
153,female,non_reader
154,unknown,non_reader
155,female,new_user
156,male,reader
157,male,non_reader
158,female,non_reader
159,female,non_reader
160,unknown,non_reader
161,unknown,non_reader
162,male,non_reader
163,female,non_reader
164,male,non_reader
165,male,non_reader
166,female,non_reader
167,male,non_reader
168,male,new_user
169,female,new_user
170,unknown,reader
171,female,non_reader
172,male,non_reader
173,female,non_reader
174,male,non_reader
175,female,non_reader
176,male,non_reader
177,female,non_reader
178,female,non_reader
179,male,non_reader
180,male,non_reader
181,unknown,non_reader
182,female,reader
183,female,non_reader
184,male,non_reader
185,male,contributor
186,male,reader
187,female,non_reader
188,female,non_reader
189,unknown,new_user
190,female,reader
191,male,reader
192,male,non_reader
193,female,non_reader
194,male,non_reader
195,female,non_reader
196,female,non_reader
197,unknown,non_reader
198,male,non_reader
199,male,non_reader
200,male,non_reader
201,male,non_reader
202,male,non_reader
203,female,non_reader
204,female,non_reader
205,male,new_user
206,unknown,non_reader
207,male,non_reader
208,male,non_reader
209,male,reader
210,male,reader
211,female,non_reader
212,male,reader
213,female,new_user
214,female,reader
215,male,non_reader
216,male,reader
217,female,non_reader
218,male,non_reader
219,female,reader
220,male,non_reader
221,male,non_reader
222,male,non_reader
223,male,non_reader
224,male,non_reader
225,male,reader
226,male,non_reader
227,male,non_reader
228,unknown,non_reader
229,male,reader
